query_index,top1_index,query_image,query_articleType,query_subCategory,query_gender,query_masterCategory,top1_image,top1_articleType,top1_subCategory,top1_gender,top1_masterCategory,similarity_score,error_type
948,34636,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/15526.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/47232.jpg,Sandals,Sandal,Men,Footwear,0.9425674676895142,wrong_articleType
3558,1318,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/45098.jpg,Briefs,Innerwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/45097.jpg,Bra,Innerwear,Women,Apparel,0.8857896327972412,wrong_articleType
3744,34366,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/27271.jpg,Tunics,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/24539.jpg,Kurtis,Topwear,Women,Apparel,0.9289357662200928,wrong_articleType
4220,22572,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/33848.jpg,Casual Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/8972.jpg,Sports Shoes,Shoes,Men,Footwear,0.919640302658081,wrong_articleType
4531,168,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/33087.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/53130.jpg,Flats,Shoes,Women,Footwear,0.9259762763977051,wrong_articleType
4763,4992,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/46823.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/49608.jpg,Casual Shoes,Shoes,Women,Footwear,0.900321900844574,wrong_articleType
5818,36142,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/37590.jpg,Innerwear Vests,Innerwear,Girls,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/3855.jpg,Tshirts,Topwear,Girls,Apparel,0.7995977401733398,wrong_articleType
6142,24145,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/24948.jpg,Tshirts,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/26955.jpg,Tops,Topwear,Women,Apparel,0.9501664042472839,wrong_articleType
7880,9021,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/30947.jpg,Tops,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/28773.jpg,Kurtis,Topwear,Women,Apparel,0.9203122854232788,wrong_articleType
8861,3681,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/28910.jpg,Kurtas,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23241.jpg,Kurtis,Topwear,Women,Apparel,0.9279676079750061,wrong_articleType
9814,13630,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/51175.jpg,Socks,Socks,Men,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/51135.jpg,Free Gifts,Free Gifts,Men,Free Items,0.9759629964828491,wrong_articleType
10446,38764,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/43647.jpg,Tops,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/44702.jpg,Shirts,Topwear,Women,Apparel,0.8996403217315674,wrong_articleType
